-,-,-
47,48,13
7,78,23
1,121,26
-15,210,14
25,292,-7
55,326,-31
-55,298,-37
-88,206,-4
-4,135,17
-36,78,31
-95,-39,-2
-95,-39,-2
-119,-77,7
-94,-113,15
-63,-149,29
2,-268,64
2,-268,64
-37,-383,64
-79,-402,60
-107,-365,30
-124,-325,-20
-82,-280,-48
-18,-191,-35
34,-100,-5
41,-77,18
2,-82,40
-31,-15,35
0,76,20
34,172,19
42,247,4
71,278,-25
41,309,-56
-79,343,-71
-55,263,-16
64,216,57
12,132,17
-83,10,-24
-92,-52,-1
-100,-80,26
-92,-86,30
-92,-86,30
-6,-126,24
26,-190,16
23,-259,21
0,-306,30
0,-306,30
-91,-314,13
-152,-336,-5
-152,-339,-14
-108,-241,-16
-68,-112,-9
-71,-56,3
-89,-23,15
-99,43,13
-29,173,-6
44,271,-18
31,292,-27
-53,267,-25
-89,175,-3
40,110,44
61,157,27
10,143,3
10,42,15
-48,-102,5
-72,-211,12
-60,-270,37
-50,-320,64
-43,-384,78
-80,-432,68
-128,-433,49
-155,-396,17
-148,-371,-44
-102,-339,-97
-57,-248,-77
-27,-166,-9
-40,-102,32
-22,-49,42
17,36,43
33,102,46
5,159,53
0,241,47
0,319,1
-79,318,-33
-63,191,-13
0,140,-3
0,140,-3
-105,-9,-3
-116,-88,7
-132,-129,22
-114,-131,22
-114,-131,22
-24,-125,50
27,-157,43
33,-235,45
14,-325,55
14,-325,55
-51,-366,43
-89,-342,5
-96,-314,-17
-88,-274,-11
-88,-274,-11
-99,-181,14
-81,-132,10
-64,-50,-3
-56,-7,-4
-56,-7,-4
-91,25,-2
-98,76,-23
-82,129,-44
-182,167,-57
-156,167,-26
40,201,17
106,313,75
70,312,46
57,177,14
-45,-19,18
-120,-182,27
-120,-251,51
-95,-265,88
-75,-287,94
-96,-392,56
-111,-430,45
-114,-420,32
-111,-366,-1
-90,-324,-21
-69,-272,-18
-86,-101,28
-79,-41,41
-79,-41,41
-11,76,56
0,144,53
5,233,42
-16,328,9
-71,297,-10
-21,113,14
-71,50,21
-79,-34,19
-101,-88,20
-125,-129,32
-83,-188,70
-34,-222,71
15,-268,55
37,-345,42
-5,-411,38
-37,-380,33
-92,-334,-5
-117,-301,-51
-39,-99,-37
45,55,-5
105,155,15
149,214,39
177,408,61
186,475,66
193,513,58
240,519,28
47,486,-40
51,379,0
96,174,-3
-38,-110,-61
-213,-219,28
-216,-79,34
-169,-69,27
-131,-115,20
-11,-283,30
33,-329,53
16,-346,53
